Date,Close,High,Low,Open,Volume
2023-03-29,-9.842523574829102,-10.475318105477538,-9.620190096867123,-10.227331015601065,5492059
2023-03-30,-9.757009506225586,-10.133266250393572,-9.543227524702628,-9.842522625040184,4350176
2023-03-31,-9.89383029937744,-10.526625613606216,-9.517574353402171,-9.705702734146596,8057114
2023-04-03,-9.226831436157228,-9.842523847774448,-8.978844339403764,-9.825420895681416,3815833
2023-04-04,-9.278139114379885,-9.449164551059178,-8.97029251284354,-9.22683107561929,2092878
2023-04-05,-9.449164390563965,-9.603086873204134,-9.141317794256436,-9.269587481222436,3061311
2023-04-06,-9.389305114746094,-9.543228416795577,-9.28668985188431,-9.474818241554388,3
2023-04-07,-9.466266632080078,-9.731356669031069,-9.295241196392476,-9.397856457805036,2079996
2023-04-10,-9.44061279296875,-9.517574441050836,-9.235382275092244,-9.457715743881918,1257121
2023-04-11,-9.363651275634766,-9.705702959052054,-9.286689626478037,-9.440612924791496,2655823
2023-04-12,-9.363651275634766,-9.474818011581863,-9.19262584168292,-9.363651275634766,2077356
2023-04-13,-9.406407356262209,-9.64584295153236,-9.209728321168685,-9.35509932094754,2984009
2023-04-14,-9.680048942565918,-9.680048942565918,-9.355100196529238,-9.397856760707628,2793630
2023-04-17,-9.380754470825195,-10.047754088346055,-9.261036256187658,-9.748458959509025,2955107
2023-04-18,-9.45771598815918,-9.51757468687415,-9.20972890210824,-9.312344163696876,1773639
2023-04-19,-9.59453582763672,-9.79976633991973,-9.36365088968316,-9.432061060444164,2620082
2023-04-20,-9.620189666748049,-9.75701001152629,-9.474817846542766,-9.577433105126447,531683
2023-04-24,-9.89383029937744,-9.902381774755272,-9.474817792026588,-9.620189611395428,2592702
2023-04-25,-10.081958770751951,-10.141817467907714,-9.825420215705917,-9.868176777465852,2356064
2023-04-26,-9.825420379638672,-10.081958938964942,-9.67149789645379,-10.081958938964942,1953059
2023-04-27,-9.568881034851074,-9.87672760697846,-9.509022341610097,-9.808317438842048,1453041
2023-04-28,-9.303791999816896,-9.7399074409443,-9.1071121513519,-9.534676117434405,1784789
2023-05-02,-9.090009689331056,-9.423509864446784,-9.030150997200098,-9.303791664671351,1394403
2023-05-03,-8.765061378479004,-9.226830433114916,-8.52990152135938,-9.072907143065096,1765473
2023-05-04,-8.722305297851562,-8.893330732022456,-8.594036426101791,-8.66244659977015,1327564
2023-05-05,-8.670997619628906,-8.73940778970178,-8.585484499281039,-8.713753364289285,1082452
2023-05-08,-8.63679313659668,-8.756510534812005,-8.58548509770896,-8.67099822401729,879147
2023-05-09,-8.611138343811035,-8.679548515747907,-8.585484733213104,-8.628241294552042,1279918
2023-05-10,-8.730856895446777,-8.961741030925547,-8.576933594785192,-8.602588021904529,2201458
2023-05-11,-8.765061378479004,-8.978843363319955,-8.594035953708953,-8.636792513779854,1486066
2023-05-12,-8.63679313659668,-8.78216496201267,-8.594036573442516,-8.713753971657841,844360
2023-05-15,-8.696651458740234,-8.842023277854954,-8.594036200926357,-8.594036200926357,938395
2023-05-16,-8.662446022033691,-8.918984563937153,-8.5854843779113,-8.918984563937153,1449354
2023-05-17,-9.226831436157228,-9.466267056864174,-8.662447065305459,-8.670998541351974,2230113
2023-05-18,-9.090009689331056,-9.320893798631548,-8.893329847950953,-9.23538149780354,864592
2023-05-22,-9.149868965148926,-9.303792258177314,-9.013048622685275,-9.141317489866555,696603
2023-05-23,-9.295241355895996,-9.534676969967284,-9.13276739308317,-9.175523141103543,908644
2023-05-24,-9.132766723632812,-9.432061015404637,-9.06435655319848,-9.329445759753137,753266
2023-05-25,-9.090009689331056,-9.243932972540394,-9.013048047726386,-9.132766247501818,519251
2023-05-26,-9.09856128692627,-9.141317030160849,-8.99594603523893,-9.081458337221616,793267
2023-05-29,-9.149868965148926,-9.320894393228484,-9.0814587939171,-9.107112404250644,1304960
2023-05-30,-9.269587516784668,-9.560331163073378,-9.141317829326566,-9.149869304926492,2089279
2023-05-31,-9.603086471557615,-9.731356153158774,-9.23538200820018,-9.320894313754057,2451728
2023-06-01,-9.67149829864502,-9.765562087587089,-9.50902351759261,-9.654395346739026,2118268
2023-06-02,-9.80831813812256,-9.996445706153413,-9.66294631659007,-9.714253538593542,2221670
2023-06-05,-9.842523574829102,-9.919485226086216,-9.680048796505496,-9.816869147400984,2079863
2023-06-06,-9.80831813812256,-9.919484873148203,-9.671497792095176,-9.833971749124297,1183385
2023-06-07,-9.833971977233888,-10.004997413735232,-9.63729292913574,-9.851074928640829,2354999
2023-06-08,-9.7655611038208,-9.93658652808376,-9.705702409207152,-9.84252274861752,1147493
2023-06-09,-9.842523574829102,-9.8681771867436,-9.705703223933616,-9.791215535486485,916433
2023-06-12,-10.432560920715332,-10.475317481702549,-9.774112817361086,-9.81686856283473,2263164
2023-06-13,-10.595035552978516,-10.723304418775436,-10.270086835377615,-10.432560786421286,3062648
2023-06-14,-10.937087059020996,-10.94563853472209,-10.449664361249177,-10.7318565352764,2456205
2023-06-15,-10.962740898132324,-11.065356162134307,-10.748958894249784,-11.005497462011558,2027834
2023-06-16,-10.860124588012695,-11.065355096247533,-10.714752774134634,-11.022599352000434,1475467
2023-06-19,-11.15546989440918,-11.241946737657496,-10.852802592448672,-10.982517032616848,1519332
2023-06-20,-10.999813079833984,-11.207356520563756,-10.411772506395314,-11.15547024802915,1633915
2023-06-21,-10.965222358703612,-11.060346228247584,-10.85280279031293,-10.999812931692722,677674
2023-06-22,-11.025755882263184,-11.12087975376562,-10.8009167408527,-10.965222584462026,1224232
2023-06-23,-11.241947174072266,-11.32842402067763,-11.043051581465988,-11.077642155167268,1492001
2023-06-26,-11.535967826843262,-11.535967826843262,-11.190061254212836,-11.285185953420772,919679
