Price,Close,High,Low,Open,Volume
Ticker,TARKM.IS,TARKM.IS,TARKM.IS,TARKM.IS,TARKM.IS
Date,,,,,
2023-09-12,118.19999694824219,118.19999694824219,118.19999694824219,118.19999694824219,14774
2023-09-13,130.0,130.0,130.0,130.0,13992
2023-09-15,157.3000030517578,157.3000030517578,157.3000030517578,157.3000030517578,39145
2023-09-18,173.0,173.0,173.0,173.0,61369
2023-09-19,190.3000030517578,190.3000030517578,190.3000030517578,190.3000030517578,79223
2023-09-20,209.3000030517578,209.3000030517578,209.3000030517578,209.3000030517578,116587
2023-09-21,230.1999969482422,230.1999969482422,230.1999969482422,230.1999969482422,175050
2023-09-22,253.1999969482422,253.1999969482422,253.1999969482422,253.1999969482422,273489
2023-09-25,278.5,278.5,278.5,278.5,160511
2023-09-26,306.29998779296875,306.29998779296875,306.29998779296875,306.29998779296875,130043
2023-09-27,336.8999938964844,336.8999938964844,336.8999938964844,336.8999938964844,1237183
2023-09-28,370.5,370.5,370.5,370.5,591697
2023-09-29,407.5,407.5,389.8999938964844,407.5,958775
2023-10-02,448.20001220703125,448.20001220703125,370.0,407.5,999530
2023-10-03,493.0,493.0,448.20001220703125,448.20001220703125,484180
2023-10-04,464.5,464.5,444.3999938964844,444.3999938964844,628826
2023-10-05,510.8999938964844,510.8999938964844,510.8999938964844,510.8999938964844,203967
2023-10-06,561.9000244140625,561.9000244140625,561.9000244140625,561.9000244140625,161633
2023-10-10,630.5,679.7999877929688,630.5,679.7999877929688,359317
2023-10-11,693.2999877929688,693.2999877929688,570.0,570.0,371782
2023-10-12,717.0,717.2000122070312,709.5999755859375,709.5999755859375,251791
2023-10-13,710.0,717.0,710.0,717.0,179809
2023-10-16,639.0,699.9000244140625,639.0,699.9000244140625,123013
2023-10-17,605.0,611.0,605.0,611.0,240061
2023-10-18,600.0,600.0,600.0,600.0,166101
2023-10-19,660.0,660.0,600.0,600.0,175838
2023-10-20,638.5999755859375,660.0,620.0,660.0,169664
2023-10-23,702.4000244140625,702.4000244140625,687.9000244140625,687.9000244140625,115514
2023-10-24,772.5999755859375,772.5999755859375,772.5999755859375,772.5999755859375,89864
2023-10-25,774.0,849.7999877929688,774.0,849.7999877929688,209893
2023-10-26,851.4000244140625,851.4000244140625,815.0,815.0,111895
2023-10-27,927.0,936.5,880.0,936.5,183735
2023-10-30,927.2999877929688,927.2999877929688,927.2000122070312,927.2000122070312,132219
2023-10-31,834.5999755859375,834.5999755859375,834.5999755859375,834.5999755859375,123811
2023-11-01,757.5,757.5,756.4000244140625,756.4000244140625,272642
2023-11-02,833.2000122070312,833.2000122070312,799.9000244140625,799.9000244140625,110265
2023-11-03,866.9000244140625,866.9000244140625,853.0,853.0,158318
2023-11-06,860.5,953.0,860.5,910.5,1326812
